[1000268201_693b08cb0e.jpg#0]	ピンクのドレスの子供は、入り口で階段のセットを登っています。
[1079274291_9aaf896cc1.jpg#2]	2人の若い男の子がカメラを見ていて、1人は笑顔で、もう1人は舌をしている。
[1079274291_9aaf896cc1.jpg#3]	2人の若い男の子がカメラを見上げ、舌を突き出す。
[1079274291_9aaf896cc1.jpg#4]	愚かな顔をしている2人の若い男の子。
[10815824_2997e03d76.jpg#0]	ブロンドの馬と黒いスエットシャツのブロンドの女の子が銃で火を見つめている。
[10815824_2997e03d76.jpg#1]	女の子と彼女の馬は火のそばに立つ。
[10815824_2997e03d76.jpg#2]	火の後ろに馬のリードを持っている少女。
[10815824_2997e03d76.jpg#3]	男と女と二頭の馬が火の中に閉じ込められています。
[10815824_2997e03d76.jpg#4]	2人と2人の馬が火を見ている。
[1082252566_8c79beef93.jpg#0]	ブルドッグ、羊の犬、そして庭に立つボクサー。
[1082252566_8c79beef93.jpg#1]	大型の茶色の犬が、小さな犬のボストンテリアを顔で押して、犬の犬が腕を振る。
[1082252566_8c79beef93.jpg#2]	大きな痩せた犬が、汚れた2匹の小さな犬の近くに立っています。
[1082252566_8c79beef93.jpg#3]	真ん中のボールに3匹の犬が出演しています。
[1082252566_8c79beef93.jpg#4]	様々なサイズの3匹の犬。
[1082379191_ec1e53f996.jpg#0]	ドックにはシャツのない女性と男がいます。
[1082379191_ec1e53f996.jpg#1]	男性と女性が一緒にドックに座っています。
[1082379191_ec1e53f996.jpg#2]	ドックに座っている男と女性。
[1082379191_ec1e53f996.jpg#3]	湖の隣のデッキに座っている男と女。
[1082379191_ec1e53f996.jpg#4]	シャツのない男とドックに座っている女性。
[1084040636_97d9633581.jpg#0]	その足にその頭を置いている白い犬のクローズアップ。
[1084040636_97d9633581.jpg#1]	大きな白い犬が床に横たわっている。
[1084040636_97d9633581.jpg#2]	白い犬は頭が地面にある。
[1084040636_97d9633581.jpg#3]	白い犬は目を開いたままタイル張りの床に頭を置きます。
[1084040636_97d9633581.jpg#4]	白い犬はパティオのレンガの上にその頭を置きます。
[1084104085_3b06223afe.jpg#0]	黄色のシャツと緑色のショートパンツの女性が、安全ハーネスを着用しながら人工の赤い壁を登っています。
[1084104085_3b06223afe.jpg#1]	青いショーツと白いシャツの女性は屋内のロッククライミングです。
[1084104085_3b06223afe.jpg#2]	その少女は岩壁を登っている。
[1084104085_3b06223afe.jpg#3]	その少女はハーネスにあり、岩を登っている。
[1084104085_3b06223afe.jpg#4]	人工の岩壁を登る女性。
[1087168168_70280d024a.jpg#0]	男の子がインフレータブルリングに飛び乗り、女の子が彼を見ている
[1087168168_70280d024a.jpg#1]	水のジャンパーに飛び乗る少年
[1087168168_70280d024a.jpg#2]	10代の少年が膨張式のスライドで飛び降りています。
[1087168168_70280d024a.jpg#3]	ジャンプする若い少年とインフレータブルプールに座っている若い女の子。
[1087168168_70280d024a.jpg#4]	膨張したおもちゃで2人の子供が水中で遊んでいます。
[1087539207_9f77ab3aaf.jpg#0]	美しい日にトラクターで遊んでいる家族
[1087539207_9f77ab3aaf.jpg#1]	子供たちはフィールドでトラクターに乗る。
[1087539207_9f77ab3aaf.jpg#2]	屋外でPolaris車で遊んでいるいくつかの子供たち。
[1087539207_9f77ab3aaf.jpg#3]	子供たちはフィールドの4輪車で遊んだ。
[1087539207_9f77ab3aaf.jpg#4]	4人の子供たちがフィールドでATVに乗っています。
[1088767354_2acee738cf.jpg#0]	一緒に立っている男性と女性の左にある赤い衣装の女性。
[1088767354_2acee738cf.jpg#1]	赤い衣装を着ている女性は、通りに立っている2人の他の人を見る。
[1088767354_2acee738cf.jpg#2]	赤いスパンコールの衣装と羽の若い女性が歩道に立っています。
[1088767354_2acee738cf.jpg#3]	サーモン色のビキニの女の子は2人の若者の隣に立っていて、1人は黒の服を着ていて、もう1人はポップを飲んでいます。
[1088767354_2acee738cf.jpg#4]	赤いビキニと赤い羽毛の頭が飾られた華やかな若い女性が、2人の若者にアプローチします。
[108898978_7713be88fc.jpg#0]	スキーヤーは森の中を丘の上を歩いています。
[108898978_7713be88fc.jpg#1]	森林地帯の雪の中で2人の男性がスキーをしています。
[108898978_7713be88fc.jpg#2]	黄色のジャケットを身に着けている2人がクロスカントリースキーをしています。
[108898978_7713be88fc.jpg#3]	2人のスキーヤーが森林を歩いています。
[108898978_7713be88fc.jpg#4]	2人のスキーヤーが森のトレイルを滑り降りています。
[108899015_bf36131a57.jpg#0]	孤独なスキーヤーが山を上っています。
[108899015_bf36131a57.jpg#1]	雪の上のスキーヤーは丘を覆った。
[108899015_bf36131a57.jpg#2]	2人のハイカーが雪の丘を登っています。
[108899015_bf36131a57.jpg#3]	雪に覆われた山に二人がいる。
[108899015_bf36131a57.jpg#4]	2人が雪山を登っています。
[1089181217_ee1167f7af.jpg#0]	舗装された通路を走っている茶色の犬
[1089181217_ee1167f7af.jpg#1]	草の横に走っている茶色の犬。
[1089181217_ee1167f7af.jpg#2]	犬が道路を走っている。
[1089181217_ee1167f7af.jpg#3]	明るい茶色の犬が幸せに道を走る。
[1089181217_ee1167f7af.jpg#4]	活発な茶色の犬の実行
[1089755335_0bfbfd30e6.jpg#0]	母親と子供たちは夜に遊歩道で釣りをしています。
[1089755335_0bfbfd30e6.jpg#1]	女性と3人の子供が釣り竿でデッキに立っています。
[1089755335_0bfbfd30e6.jpg#2]	海を見下ろす夜の遊歩道に、子供たちと一緒に立っている女性。
[1089755335_0bfbfd30e6.jpg#3]	一人の女の子が釣りに出て、夜に桟橋に乗っている人もいます。
[1089755335_0bfbfd30e6.jpg#4]	夕方に遊歩道で釣りをする3人の子供を持つ女性。
[109202756_b97fcdc62c.jpg#0]	青いジャケットと青のジーンズを着た女性が凍った湖と雪で覆われた山の近くに茶色の馬に乗っています。
[109202756_b97fcdc62c.jpg#1]	青いジャケットの女性が水の近くに茶色のポニーを乗せています。
[109202756_b97fcdc62c.jpg#2]	女性は冬に凍った湖の近くで馬に乗る。
[109202756_b97fcdc62c.jpg#3]	雪の多い山々に茶色の草案の馬の上に座っている若い金髪の女性。
[109202756_b97fcdc62c.jpg#4]	女性n青いジャケットは凍った湖の近くの馬に乗っています。
[109202801_c6381eef15.jpg#0]	2頭のドラフト馬が雪の中でカートを引っ張ります。
[109202801_c6381eef15.jpg#1]	黄金色の2頭の馬は、青いコートの女性が運転している滑車を引っ張る。
[109202801_c6381eef15.jpg#2]	2頭の馬がカートで女性を引っ張っています。
[109202801_c6381eef15.jpg#3]	2頭の馬は、雪で覆われた地面を覆っている女性によって駆動される馬車を引っ張る
[109202801_c6381eef15.jpg#4]	馬鹿を引っ張っている二頭の馬は、笑顔のブロンドの女性が操り返した。
[109260216_85b0be5378.jpg#0]	ロープを使って真っ白な岩崖を登っている人
[109260216_85b0be5378.jpg#1]	安全ロープをつかみながら背の高い平らな山に登る。
[109260216_85b0be5378.jpg#2]	白いロープを握っている人が岩を登っています。
[109260216_85b0be5378.jpg#3]	人は急斜面を降ります。
[109260216_85b0be5378.jpg#4]	赤いベストを着た人は急な岩を登る。
[109260218_fca831f933.jpg#0]	人々は岩のドームの中に立つ。
[109260218_fca831f933.jpg#1]	洞穴の光の軸には3つのスペル
[109260218_fca831f933.jpg#2]	Spelunkersは、表面から太陽光を浴びている間に洞窟の中に潜んでいます。
[109260218_fca831f933.jpg#3]	3人が洞窟に座っています。
[109260218_fca831f933.jpg#4]	3人のロッククライマーが大きな岩の上に姿を現しています。
[1093716555_801aacef79.jpg#0]	乾燥した地面にバックパッカーのグループが横たわっています。
[1093716555_801aacef79.jpg#1]	いくつかの山の前でハイカーのグループが地面に座っています。
[1093716555_801aacef79.jpg#2]	山々を背景にした人々のキャンプ。
[1093716555_801aacef79.jpg#3]	いくつかのハイカーは山の前にギアを置いています。
[1093716555_801aacef79.jpg#4]	ハイカーのグループは山の前で休んでいます。
[1093737381_b313cd49ff.jpg#0]	青いドレスの女性は、ストリームで遊ぶ2人の子供のチョークの肖像画で立っています。
[1093737381_b313cd49ff.jpg#1]	チョークの手前に立っている女性
[1093737381_b313cd49ff.jpg#2]	女性は納屋のような構造の前でチョークの絵の隣に立つ。
[1093737381_b313cd49ff.jpg#3]	女性は、精巧なチョークのイラストの近くに立っています。
[1093737381_b313cd49ff.jpg#4]	青いドレスを着ている女性が、歩道のチョークで歩道に少年と少女の絵を描いています。
[1094462889_f9966dafa6.jpg#0]	茶色の犬が雪の深い山の上で遊んでいます。
[1094462889_f9966dafa6.jpg#1]	雪の中でカメラを見ている犬。
[1094462889_f9966dafa6.jpg#2]	犬は雪の中を走ります。
[1094462889_f9966dafa6.jpg#3]	黄犬が雪の中に立って見上げる。
[1094462889_f9966dafa6.jpg#4]	茶色の犬は雪の中に出ています。
[1095476286_87d4f8664e.jpg#0]	噴水に飛び乗る少年。
[1095476286_87d4f8664e.jpg#1]	男の子は噴水で遊ぶ。
[1095476286_87d4f8664e.jpg#2]	子供が噴水で遊ぶ。
[1095476286_87d4f8664e.jpg#3]	水で遊んでいる少年。
[1095476286_87d4f8664e.jpg#4]	若い男の子が地面から噴霧されている水を飛び越えています。
[1095580424_76f0aa8a3e.jpg#0]	コーギーはトンネルを使い果たす。
[1095580424_76f0aa8a3e.jpg#1]	犬はコース上のトンネルを使い果たします。
[1095580424_76f0aa8a3e.jpg#2]	障害物コースのトンネルを走っている犬
[1095580424_76f0aa8a3e.jpg#3]	犬は犬の服従コースでトンネルから走っています。
[1095580424_76f0aa8a3e.jpg#4]	小さな茶色と白い犬は小さなトンネルを使い果たしています。
[1095590286_c654f7e5a9.jpg#0]	金髪の犬と黒と白の犬は、汚れの畑で動いています。
[1095590286_c654f7e5a9.jpg#1]	犬は別の犬を追いかける。
[1095590286_c654f7e5a9.jpg#2]	黄色の犬と白黒の犬が汚れて走っています。
[1095590286_c654f7e5a9.jpg#3]	フィールドでは2匹の犬が走っています。
[1095590286_c654f7e5a9.jpg#4]	走っている2匹の犬
[1095980313_3c94799968.jpg#0]	青い水着の少女が砂浜の横の木製の柵に沿って歩いています。
[1095980313_3c94799968.jpg#1]	腕を伸ばした小さな女の子がビーチで姿を現しています。
[1095980313_3c94799968.jpg#2]	若い女の子がビーチの前で手すりを歩く。
[1095980313_3c94799968.jpg#3]	ビーチの近くの手すりに青い水着を立てている小さな女の子。
[1095980313_3c94799968.jpg#4]	青い水着の少女がビーチでポーズをとります。
[1096097967_ac305887b4.jpg#0]	水スプレーから黒と白の犬の飲料水。
[1096097967_ac305887b4.jpg#1]	黒と白の犬が青いパドリングプールに水のジェットで浸されている。
[1096097967_ac305887b4.jpg#2]	犬は庭のホースからシャワーに顔を貼り付ける。
[1096097967_ac305887b4.jpg#3]	小さな白い犬が水で噴霧される
[1096097967_ac305887b4.jpg#4]	白と黒の犬がプールに飛び込んでいます。
[1096165011_cc5eb16aa6.jpg#0]	少年は水中で微笑む。
[1096165011_cc5eb16aa6.jpg#1]	水中で泳いでいる赤い頭の少年。
[1096165011_cc5eb16aa6.jpg#2]	水中で泳ぐ小さな男の子
[1096165011_cc5eb16aa6.jpg#3]	プールで水中で笑顔の少年が泳ぎます。
[1096165011_cc5eb16aa6.jpg#4]	男の子たちは水中でプールを笑顔にします。
[1096395242_fc69f0ae5a.jpg#0]	おもちゃの銃を持つ少年。
[1096395242_fc69f0ae5a.jpg#1]	おもちゃで遊んでいるオレンジ色のショートパンツの少年。
[1096395242_fc69f0ae5a.jpg#2]	彼の足を伸ばした若い男の子は、暖炉の前のカメラでおもちゃを目指しています。
[1096395242_fc69f0ae5a.jpg#3]	幼い子供が新しいライトアップおもちゃで遊ぶ。
[1096395242_fc69f0ae5a.jpg#4]	カメラで指されたおもちゃの銃を持つ少年。
[109671650_f7bbc297fa.jpg#0]	イエローショーツの少年が崖の上に立っています。
[109671650_f7bbc297fa.jpg#1]	青と黄色の崖の端を歩いている少年。
[109671650_f7bbc297fa.jpg#2]	岩の上空に立っている小さな男の子。
[109671650_f7bbc297fa.jpg#3]	若い子供は、ギザギザの岩に単独で立っています。
[109671650_f7bbc297fa.jpg#4]	子供は崖の端の近くに立つ。
[109738763_90541ef30d.jpg#0]	ジャンプ中のスノーモービルの人。
[109738763_90541ef30d.jpg#1]	スノーモービルが空気中を飛びます。
[109738763_90541ef30d.jpg#2]	スノーモービルのライダーは、背の高い松の木の前で、自分のマシンで空を飛ぶ。
[109738763_90541ef30d.jpg#3]	ライダーは農村部でスノーモービルを高く跳躍します。
[109738763_90541ef30d.jpg#4]	男は空中にいる。
[109738916_236dc456ac.jpg#0]	人々はスノーモービルに乗っています。
[109738916_236dc456ac.jpg#1]	スノーモービルに乗っている間、ヘルメットとゴーグルがポーズをとります。
[109738916_236dc456ac.jpg#2]	いくつかの人々はスノーモービルライディング中に休憩を取ります。
